title,overview,original_language,release_date,vote_average,popularity,vote_count
The Road to El Dorado,"Stowing away after a failed con, a pair of swindlers end up on El Dorado, the fabled ""city of gold"", where they quickly get in over their heads when they are mistaken as gods by the inhabitants.",en,2000-03-31,7.248,5.1802,3844
American Pie Presents: Beta House,"Erik, Ryan, and Cooze start college and pledge the Beta House fraternity, presided over by none other than legendary Dwight Stifler. But chaos ensues when a fraternity of geeks threatens to stop the debauchery and the Betas have to make a stand for their right to party.",en,2007-12-26,5.653,5.6333,1919
American Gangster,"Loosely based on the criminal career of Frank Lucas, a gangster from La Grange, North Carolina, who smuggled heroin into the United States on American service planes returning from the Vietnam War, before being detained by a task force led by Newark Detective Richie Roberts.",en,2007-11-02,7.591,6.1183,5634
The Witcher: Sirens of the Deep,"Geralt of Rivia, a mutated monster hunter, is hired to investigate a series of attacks in a seaside village and finds himself drawn into a centuries-old conflict between humans and merpeople. He must count on friends — old and new — to solve the mystery before the hostilities between the two kingdoms escalate into an all-out war.",en,2025-02-10,6.949,6.3032,196
Despicable Me 3,Gru and his wife Lucy must stop former '80s child star Balthazar Bratt from achieving world domination.,en,2017-06-15,6.5,5.9526,7330
Triple Frontier,"Struggling to make ends meet, former special ops soldiers reunite for a high-stakes heist: stealing $75 million from a South American drug lord.",en,2019-03-06,6.3,5.905,3317
Niko: Beyond the Northern Lights,"Niko the reindeer joins his father in Santa's Flying Forces, but when Santa's sleigh is stolen by an acquaintance, Niko must find it in time for Christmas.",fi,2024-10-07,7.726,5.9426,31
Whisper of the Heart,"Shizuku lives a simple life, dominated by her love for stories and writing. One day she notices that all the library books she has have been previously checked out by the same person: 'Seiji Amasawa'.",ja,1995-07-15,7.9,5.9181,2099
Coherence,Four couples gather for dinner the night a mysterious and powerful comet passes overhead.,en,2013-09-19,7.2,6.4036,3064
Urotsukidōji: Legend of the Overfiend,"Legend has it that the human race is not the only dominant civilization living on Earth. Two other races exist in this world: the Makai (a demon race) and the Jujinkai (a half-man, half-beast race). Once every 3,000 years, a supreme being known as the ""Choujin"" (Overfiend) will emerge and bring balance to all three realms on Earth. In present-day Japan, after 300 years of endless searching, a Jujinkai named Amano Jyaku has discovered the presence of the Choujin inside high school slacker Tatsuo Nagumo. But now, Amano, along with his sister Megumi and their sidekick Kuroko must protect Nagumo and his new girlfriend Akemi Ito from the Makai, who believe that Nagumo is not the Choujin, but an evil entity bent on destroying all living beings on Earth.",ja,1989-03-18,6.0,4.5464,109
Hot Fuzz,"Former London constable Nicholas Angel finds it difficult to adapt to his new assignment in the sleepy British village of Sandford. Not only does he miss the excitement of the big city, but he also has a well-meaning oaf for a partner. However, when a series of grisly accidents rocks Sandford, Angel smells something rotten in the idyllic village.",en,2007-02-14,7.562,5.7311,7814
En la cabeza de papá,Osvaldo is going through a unique moment in his life. Selling a home forever alters family ties.,es,2021-12-16,5.0,4.8895,2
Batman & Robin,Batman and Robin deal with relationship issues while preventing Mr. Freeze and Poison Ivy from attacking Gotham City.,en,1997-06-20,4.37,6.1026,5134
Level 16,"The teenage girls of Vestalis Academy are meticulously trained in the art of being “clean girls,” practicing the virtues of perfect femininity. But what exactly are they being trained for? Vivien intends to find out.",en,2018-02-20,6.764,5.3392,683
Black Clover: Sword of the Wizard King,"As a lionhearted boy who can't wield magic strives for the title of Wizard King, four banished Wizard Kings of yore return to crush the Clover Kingdom.",ja,2023-06-16,8.181,6.0757,309
Underdogs,"All seems well for Amadeo, a shy but talented foosball player who's in love with the free-spirited Laura. Trouble strikes when Grosso, the world's best soccer player, returns home with plans to destroy the village and turn it into a new sports stadium. When Grosso kidnaps Laura, Amadeo receives the ultimate surprise when the figurines from his foosball table spring to life to help him save his beloved and reclaim the town.",es,2013-07-18,6.932,6.2089,509
Fist of Fury,"Chen Chen returns to his former school in Shanghai when he learns that his beloved instructor has been murdered. While investigating the man's death, Chen discovers that a rival Japanese school is operating a drug smuggling ring. To avenge his master’s death, Chen takes on both Chinese and Japanese assassins… and even a towering Russian.",zh,1972-03-22,7.3,5.5518,991
新婚シリーズ　最初が肝心,1962 Japanese movie,ja,1962-02-07,0.0,5.6675,0
Cinderella's Curse,"Desperate Cinderella summons her fairy godmother from an ancient flesh-bound book, seeking revenge on her evil stepmother and stepsisters who abuse and torment her daily.",en,2024-05-31,6.1,5.456,71
Arunachalam,"Arunachalam, the son of a  prominent village elder, discovers the truth about his past.",ta,1997-04-10,7.3,6.1732,28
The Fugitive,"Wrongfully convicted of murdering his wife and sentenced to death, Richard Kimble escapes from the law in an attempt to find the real killer and clear his name.",en,1993-08-06,7.466,5.9096,4428
Mazel Tov,"When Dario Roitman returns from the U.S. to Argentina for a family wedding and Bat Mitzvah, he anticipates the usual family drama. But his carefully laid plans for a family reunion are suddenly upended when he learns, just hours before his flight, that his father has passed away.  As the Roitmans gather for the funeral, old wounds resurface and longstanding tensions reach a boiling point. Despite the emotional turmoil, Dario remains determined to celebrate both the wedding and Bat Mitzvah, even if it means challenging tradition and risking further discord. Navigating grief, sibling rivalry, and delightfully eccentric grudges, the Roitmans reveal the messy yet enduring love of family.",es,2025-04-17,7.214,5.6934,14
The Three Musketeers: D'Artagnan,"D'Artagnan, a spirited young Gascon, is left for dead after trying to save a noblewoman from being kidnapped. Once in Paris, he tries by all means to find his attackers, unaware that his quest will lead him to the very heart of a war where the future of France is at stake. Aided by King's Musketeers Athos, Porthos and Aramis, he faces the machinations of villainous Cardinal Richelieu and Milady de Winter, while falling in love with Constance, the Queen's confidante.",fr,2023-04-05,6.962,6.113,1277
The Killer,"After a fateful miss, an assassin battles his employers, and himself, on an international manhunt he insists isn't personal.",en,2023-10-25,6.578,6.3676,2403
Golden Kamuy,"On the Hokkaido frontier, a war veteran and Ainu girl race against misfits and military renegades to find treasure mapped out on tattooed outlaws.",ja,2024-01-19,6.8,5.6454,72
Meet the Robinsons,"Lewis, a brilliant young inventor, is keen on creating a time machine to find his mother, who abandoned him in an orphanage. Things take a turn when he meets Wilbur Robinson and his family.",en,2007-03-23,6.9,6.3269,2947
Don't Breathe,A group of teens break into a blind man's home thinking they'll get away with the perfect crime. They're wrong.,en,2016-06-08,7.015,5.0859,7607
A Simple Favor,"Stephanie, a dedicated mother and popular vlogger, befriends Emily, a mysterious upper-class woman whose son Nicky attends the same school as Miles, Stephanie's son. When Emily asks her to pick Nicky up from school and then disappears, Stephanie undertakes an investigation that will dive deep into Emily's cloudy past.",en,2018-09-13,6.637,6.5348,4362
The Hot Spot,"Upon arriving to a small town, a drifter quickly gets into trouble with the local authorities — and the local women — after he robs a bank.",en,1990-10-12,6.3,4.9802,278
Lion,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.",en,2016-11-24,8.045,5.5159,6706
Daddy's Home,"The story of a mild-mannered radio executive who strives to become the best stepdad ever to his wife's two children, but complications ensue when their freewheeling, freeloading real father arrives, forcing stepdad to compete for the affection of the kids.",en,2015-12-25,6.288,5.2518,3276
